Subject;BlockCounter;Blocks;BlockList;Category[LogLevel5];Category[SubTrial];Exemplar[LogLevel5];Exemplar[SubTrial];Item;Typicality[LogLevel5];Typicality[SubTrial];RpWordQ.RESP;Retrieval: item accuracy;Retrieval: item and side correct;Response.RESP;Test: item accuracy;Test: side and item correct;Correct[LogLevel5];Correct[SubTrial];Side[LogLevel5];Side[SubTrial];SoundFile[LogLevel5];SoundFile[SubTrial];EncodeSideQ.ACC;EncodeSideQ.RESP;EncodeSideQ.RT;RpSideQ.ACC;RpSideQ.RESP;RpSideQ.RT;RpSideQ RT if item and side correct;TestSideQ.ACC;TestSideQ.RESP;TestSideQ.RT;ListSet[LogLevel5];ListSet[SubTrial];RetStem[LogLevel5];RetStem[SubTrial];TestStem;Retrieval round
4;1;6;4;;Köksredskap;;Hålslev;RpPlus;;low;;;;3;0;0;;{RIGHTARROW};;10000;;hålslev.wav;;;;;;;;0;{LEFTARROW};1249;;2;;Hå;H;
4;1;6;4;;Köksredskap;;Rivjärn;RpMinus;;high;;;;1;1;0;;{LEFTARROW};;-10000;;rivjärn.wav;;;;;;;;0;{RIGHTARROW};1466;;2;;Ri;R;
4;1;6;4;;Väderfenomen;;Tornado;RpMinus;;high;;;;3;0;0;;{RIGHTARROW};;10000;;tornado.wav;;;;;;;;1;{RIGHTARROW};1370;;3;;To;T;
4;1;6;4;;Fisk;;Makrill;NrpHigh;;high;;;;3;0;0;;{LEFTARROW};;-10000;;makrill.wav;;;;;;;;0;{RIGHTARROW};909;;1;;Ma;M;
4;1;6;4;;Fisk;;Flundra;NrpLow;;low;;;;3;0;0;;{RIGHTARROW};;10000;;flundra.wav;;;;;;;;0;{LEFTARROW};707;;1;;Fl;F;
4;1;6;4;;Väderfenomen;;Kuling;RpPlus;;low;;;;1;1;0;;{LEFTARROW};;-10000;;kuling.wav;;;;;;;;0;{RIGHTARROW};817;;3;;Ku;K;
4;1;6;4;;Köksredskap;;Mixer;RpMinus;;high;;;;3;0;0;;{LEFTARROW};;-10000;;mixer.wav;;;;;;;;0;{RIGHTARROW};747;;2;;Mi;M;
4;1;6;4;;Väderfenomen;;Dimma;RpMinus;;high;;;;1;1;0;;{RIGHTARROW};;10000;;dimma.wav;;;;;;;;0;{LEFTARROW};1238;;3;;Di;D;
4;2;1;1;;Krydda;;Rosmarin;RpMinus;;high;;;;;;;;{LEFTARROW};;-10000;;rosmarin.wav;1;{LEFTARROW};1069;;;;;;;;;3;;Ro;R;
4;2;1;1;;Krydda;;Anis;RpPlus;;low;;;;;;;;{RIGHTARROW};;10000;;anis.wav;1;{RIGHTARROW};544;;;;;;;;;3;;An;A;
4;2;1;1;;Fotbeklädnad;;Pumps;RpMinus;;high;;;;;;;;{RIGHTARROW};;10000;;pumps.wav;1;{RIGHTARROW};696;;;;;;;;;2;;Pu;P;
4;2;1;1;;Frukt;;Ananas;NrpHigh;;high;;;;;;;;{RIGHTARROW};;10000;;ananas.wav;1;{RIGHTARROW};775;;;;;;;;;1;;An;A;
4;2;1;1;;Fotbeklädnad;;Damask;RpPlus;;low;;;;;;;;{LEFTARROW};;-10000;;damask.wav;1;{LEFTARROW};516;;;;;;;;;2;;Da;D;
4;2;1;1;;Krydda;;Oregano;RpMinus;;high;;;;;;;;{LEFTARROW};;-10000;;oregano.wav;1;{LEFTARROW};1213;;;;;;;;;3;;Or;O;
4;2;1;1;;Krydda;;Muskot;RpPlus;;low;;;;;;;;{RIGHTARROW};;10000;;muskot.wav;1;{RIGHTARROW};666;;;;;;;;;3;;Mu;M;
4;2;1;1;;Fotbeklädnad;;Raggsocka;RpPlus;;low;;;;;;;;{LEFTARROW};;-10000;;raggsocka.wav;1;{LEFTARROW};445;;;;;;;;;2;;Ra;R;
4;2;1;1;;Frukt;;Guava;NrpLow;;low;;;;;;;;{LEFTARROW};;-10000;;guava.wav;1;{LEFTARROW};874;;;;;;;;;1;;Gu;G;
4;2;1;1;;Fotbeklädnad;;Socka;RpMinus;;high;;;;;;;;{RIGHTARROW};;10000;;socka.wav;1;{RIGHTARROW};418;;;;;;;;;2;;So;S;
4;2;1;1;;Fotbeklädnad;;Boots;RpPlus;;low;;;;;;;;{LEFTARROW};;-10000;;boots.wav;1;{LEFTARROW};400;;;;;;;;;2;;Bo;B;
4;2;1;1;;Krydda;;Wasabi;RpPlus;;low;;;;;;;;{RIGHTARROW};;10000;;wasabi.wav;1;{RIGHTARROW};764;;;;;;;;;3;;Wa;W;
4;2;1;1;;Krydda;;Basilika;RpMinus;;high;;;;;;;;{LEFTARROW};;-10000;;basilika.wav;1;{LEFTARROW};683;;;;;;;;;3;;Ba;B;
4;2;1;1;;Frukt;;Satsuma;NrpLow;;low;;;;;;;;{LEFTARROW};;-10000;;satsuma.wav;1;{LEFTARROW};1212;;;;;;;;;1;;Sa;S;
4;2;1;1;;Fotbeklädnad;;Toffel;RpMinus;;high;;;;;;;;{RIGHTARROW};;10000;;toffel.wav;1;{RIGHTARROW};616;;;;;;;;;2;;To;T;
4;2;1;1;;Fotbeklädnad;;Känga;RpMinus;;high;;;;;;;;{RIGHTARROW};;10000;;känga.wav;1;{RIGHTARROW};443;;;;;;;;;2;;Kä;K;
4;2;1;1;;Frukt;;Citron;NrpHigh;;high;;;;;;;;{RIGHTARROW};;10000;;citron.wav;1;{RIGHTARROW};294;;;;;;;;;1;;Ci;C;
4;2;1;1;;Frukt;;Fikon;NrpLow;;low;;;;;;;;{LEFTARROW};;-10000;;fikon.wav;1;{LEFTARROW};439;;;;;;;;;1;;Fi;F;
4;2;1;1;;Krydda;;Koriander;RpPlus;;low;;;;;;;;{RIGHTARROW};;10000;;koriander.wav;1;{RIGHTARROW};418;;;;;;;;;3;;Ko;K;
4;2;1;1;;Frukt;;Pomerans;NrpLow;;low;;;;;;;;{LEFTARROW};;-10000;;pomerans.wav;1;{LEFTARROW};1165;;;;;;;;;1;;Po;P;
4;2;1;1;;Fotbeklädnad;;Nätstrumpa;RpPlus;;low;;;;;;;;{LEFTARROW};;-10000;;nätstrumpa.wav;1;{LEFTARROW};1050;;;;;;;;;2;;Nä;N;
4;2;1;1;;Frukt;;Vindruva;NrpHigh;;high;;;;;;;;{RIGHTARROW};;10000;;vindruva.wav;1;{RIGHTARROW};347;;;;;;;;;1;;Vi;V;
4;2;1;1;;Frukt;;Mango;NrpHigh;;high;;;;;;;;{RIGHTARROW};;10000;;mango.wav;1;{RIGHTARROW};970;;;;;;;;;1;;Ma;M;
4;2;1;1;;Krydda;;Saffran;RpMinus;;high;;;;;;;;{LEFTARROW};;-10000;;saffran.wav;1;{LEFTARROW};943;;;;;;;;;3;;Sa;S;
4;2;1;2;Fotbeklädnad;;Damask;;;low;;3;0;0;;;;{LEFTARROW};;-10000;;damask.wav;;;;;0;{RIGHTARROW};1355;;;;;2;;Da;;;1
4;2;1;2;Fotbeklädnad;;Raggsocka;;;low;;1;1;0;;;;{LEFTARROW};;-10000;;raggsocka.wav;;;;;0;{RIGHTARROW};475;;;;;2;;Ra;;;1
4;2;1;2;Krydda;;Koriander;;;low;;1;1;1;;;;{RIGHTARROW};;10000;;koriander.wav;;;;;1;{RIGHTARROW};525;525;;;;3;;Ko;;;1
4;2;1;2;Fotbeklädnad;;Nätstrumpa;;;low;;1;1;1;;;;{LEFTARROW};;-10000;;nätstrumpa.wav;;;;;1;{LEFTARROW};685;685;;;;2;;Nä;;;1
4;2;1;2;Fotbeklädnad;;Boots;;;low;;1;1;0;;;;{LEFTARROW};;-10000;;boots.wav;;;;;0;{RIGHTARROW};824;;;;;2;;Bo;;;1
4;2;1;2;Krydda;;Muskot;;;low;;1;1;1;;;;{RIGHTARROW};;10000;;muskot.wav;;;;;1;{RIGHTARROW};1916;1916;;;;3;;Mu;;;1
4;2;1;2;Krydda;;Anis;;;low;;1;1;1;;;;{RIGHTARROW};;10000;;anis.wav;;;;;1;{RIGHTARROW};581;581;;;;3;;An;;;1
4;2;1;2;Krydda;;Wasabi;;;low;;1;1;0;;;;{RIGHTARROW};;10000;;wasabi.wav;;;;;0;{LEFTARROW};404;;;;;3;;Wa;;;1
4;2;1;2;Fotbeklädnad;;Damask;;;low;;3;0;0;;;;{LEFTARROW};;-10000;;damask.wav;;;;;1;{LEFTARROW};1514;;;;;2;;Da;;;2
4;2;1;2;Fotbeklädnad;;Nätstrumpa;;;low;;1;1;0;;;;{LEFTARROW};;-10000;;nätstrumpa.wav;;;;;0;{RIGHTARROW};2355;;;;;2;;Nä;;;2
4;2;1;2;Krydda;;Anis;;;low;;1;1;0;;;;{RIGHTARROW};;10000;;anis.wav;;;;;0;{LEFTARROW};475;;;;;3;;An;;;2
4;2;1;2;Krydda;;Muskot;;;low;;1;1;1;;;;{RIGHTARROW};;10000;;muskot.wav;;;;;1;{RIGHTARROW};461;461;;;;3;;Mu;;;2
4;2;1;2;Fotbeklädnad;;Raggsocka;;;low;;1;1;1;;;;{LEFTARROW};;-10000;;raggsocka.wav;;;;;1;{LEFTARROW};1248;1248;;;;2;;Ra;;;2
4;2;1;2;Krydda;;Wasabi;;;low;;1;1;0;;;;{RIGHTARROW};;10000;;wasabi.wav;;;;;0;{LEFTARROW};371;;;;;3;;Wa;;;2
4;2;1;2;Fotbeklädnad;;Boots;;;low;;1;1;0;;;;{LEFTARROW};;-10000;;boots.wav;;;;;0;{RIGHTARROW};491;;;;;2;;Bo;;;2
4;2;1;2;Krydda;;Koriander;;;low;;1;1;1;;;;{RIGHTARROW};;10000;;koriander.wav;;;;;1;{RIGHTARROW};732;732;;;;3;;Ko;;;2
4;2;1;2;Fotbeklädnad;;Boots;;;low;;1;1;1;;;;{LEFTARROW};;-10000;;boots.wav;;;;;1;{LEFTARROW};1668;1668;;;;2;;Bo;;;3
4;2;1;2;Krydda;;Anis;;;low;;1;1;1;;;;{RIGHTARROW};;10000;;anis.wav;;;;;1;{RIGHTARROW};727;727;;;;3;;An;;;3
4;2;1;2;Krydda;;Koriander;;;low;;1;1;1;;;;{RIGHTARROW};;10000;;koriander.wav;;;;;1;{RIGHTARROW};751;751;;;;3;;Ko;;;3
4;2;1;2;Krydda;;Wasabi;;;low;;1;1;0;;;;{RIGHTARROW};;10000;;wasabi.wav;;;;;0;{LEFTARROW};470;;;;;3;;Wa;;;3
4;2;1;2;Fotbeklädnad;;Nätstrumpa;;;low;;1;1;0;;;;{LEFTARROW};;-10000;;nätstrumpa.wav;;;;;0;{RIGHTARROW};954;;;;;2;;Nä;;;3
4;2;1;2;Fotbeklädnad;;Raggsocka;;;low;;1;1;0;;;;{LEFTARROW};;-10000;;raggsocka.wav;;;;;0;{RIGHTARROW};585;;;;;2;;Ra;;;3
4;2;1;2;Krydda;;Muskot;;;low;;1;1;1;;;;{RIGHTARROW};;10000;;muskot.wav;;;;;1;{RIGHTARROW};631;631;;;;3;;Mu;;;3
4;2;1;2;Fotbeklädnad;;Damask;;;low;;3;0;0;;;;{LEFTARROW};;-10000;;damask.wav;;;;;0;{RIGHTARROW};610;;;;;2;;Da;;;3
4;2;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;2;1;4;;Frukt;;Vindruva;NrpHigh;;high;;;;3;0;0;;{RIGHTARROW};;10000;;vindruva.wav;;;;;;;;0;{LEFTARROW};1362;;1;;Vi;V;
4;2;1;4;;Fotbeklädnad;;Toffel;RpMinus;;high;;;;3;0;0;;{RIGHTARROW};;10000;;toffel.wav;;;;;;;;1;{RIGHTARROW};534;;2;;To;T;
4;2;1;4;;Frukt;;Mango;NrpHigh;;high;;;;1;1;0;;{RIGHTARROW};;10000;;mango.wav;;;;;;;;0;{LEFTARROW};539;;1;;Ma;M;
4;2;1;4;;Krydda;;Wasabi;RpPlus;;low;;;;1;1;0;;{RIGHTARROW};;10000;;wasabi.wav;;;;;;;;0;{LEFTARROW};545;;3;;Wa;W;
4;2;1;4;;Frukt;;Pomerans;NrpLow;;low;;;;3;0;0;;{LEFTARROW};;-10000;;pomerans.wav;;;;;;;;0;{RIGHTARROW};1140;;1;;Po;P;
4;2;1;4;;Krydda;;Oregano;RpMinus;;high;;;;1;1;0;;{LEFTARROW};;-10000;;oregano.wav;;;;;;;;0;{RIGHTARROW};560;;3;;Or;O;
4;2;1;4;;Frukt;;Fikon;NrpLow;;low;;;;3;0;0;;{LEFTARROW};;-10000;;fikon.wav;;;;;;;;0;{RIGHTARROW};644;;1;;Fi;F;
4;2;1;4;;Fotbeklädnad;;Damask;RpPlus;;low;;;;3;0;0;;{LEFTARROW};;-10000;;damask.wav;;;;;;;;0;{RIGHTARROW};373;;2;;Da;D;
4;2;1;4;;Fotbeklädnad;;Pumps;RpMinus;;high;;;;1;1;0;;{RIGHTARROW};;10000;;pumps.wav;;;;;;;;0;{LEFTARROW};528;;2;;Pu;P;
4;2;1;4;;Krydda;;Rosmarin;RpMinus;;high;;;;1;1;0;;{LEFTARROW};;-10000;;rosmarin.wav;;;;;;;;0;{RIGHTARROW};549;;3;;Ro;R;
4;2;1;4;;Krydda;;Koriander;RpPlus;;low;;;;1;1;1;;{RIGHTARROW};;10000;;koriander.wav;;;;;;;;1;{RIGHTARROW};281;;3;;Ko;K;
4;2;1;4;;Frukt;;Satsuma;NrpLow;;low;;;;3;0;0;;{LEFTARROW};;-10000;;satsuma.wav;;;;;;;;0;{RIGHTARROW};1145;;1;;Sa;S;
4;2;1;4;;Krydda;;Saffran;RpMinus;;high;;;;3;0;0;;{LEFTARROW};;-10000;;saffran.wav;;;;;;;;0;{RIGHTARROW};725;;3;;Sa;S;
4;2;1;4;;Frukt;;Ananas;NrpHigh;;high;;;;1;1;0;;{RIGHTARROW};;10000;;ananas.wav;;;;;;;;0;{LEFTARROW};530;;1;;An;A;
4;2;1;4;;Fotbeklädnad;;Raggsocka;RpPlus;;low;;;;1;1;0;;{LEFTARROW};;-10000;;raggsocka.wav;;;;;;;;0;{RIGHTARROW};391;;2;;Ra;R;
4;2;1;4;;Fotbeklädnad;;Boots;RpPlus;;low;;;;1;1;0;;{LEFTARROW};;-10000;;boots.wav;;;;;;;;0;{RIGHTARROW};802;;2;;Bo;B;
4;2;1;4;;Fotbeklädnad;;Känga;RpMinus;;high;;;;3;0;0;;{RIGHTARROW};;10000;;känga.wav;;;;;;;;1;{RIGHTARROW};956;;2;;Kä;K;
4;2;1;4;;Fotbeklädnad;;Socka;RpMinus;;high;;;;1;1;1;;{RIGHTARROW};;10000;;socka.wav;;;;;;;;1;{RIGHTARROW};2224;;2;;So;S;
4;2;1;4;;Krydda;;Basilika;RpMinus;;high;;;;3;0;0;;{LEFTARROW};;-10000;;basilika.wav;;;;;;;;0;{RIGHTARROW};1200;;3;;Ba;B;
4;2;1;4;;Frukt;;Citron;NrpHigh;;high;;;;1;1;1;;{RIGHTARROW};;10000;;citron.wav;;;;;;;;1;{RIGHTARROW};1611;;1;;Ci;C;
